MW365527.2,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW692306.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW692305.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas putida'
MW692304.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia caledonica'
MW692303.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia terricola'
MW692302.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692301.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia phenoliruptrix'
MW692300.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas fluorescens'
MW692299.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692298.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692297.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692296.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia rhynchosiae'
MW692295.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692294.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia phenoliruptrix'
MW692241.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692240.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692236.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia caledonica'
MW692234.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692233.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', ' Burkholderia cepacia complex', 'Burkholderia cepacia'
MW692232.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', ' Burkholderia cepacia complex', 'Burkholderia cenocepacia'
MW692231.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Rhodanobacteraceae', ' Dyella', ' unclassified Dyella', 'Dyella sp.'
MW692227.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692226.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' unclassified Pantoea', 'Pantoea sp.'
MW692225.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', 'Burkholderia sp.'
MW692222.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692221.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Paraburkholderia', 'Paraburkholderia graminis'
MW692220.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', 'Burkholderia sp.'
MW692219.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', 'Enterobacteriaceae bacterium'
MW692216.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Phyllobacteriaceae', ' Phyllobacterium', 'Phyllobacterium ifriqiyense'
MW692215.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Phyllobacteriaceae', ' Phyllobacterium', 'Phyllobacterium ifriqiyense'
MW692214.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' unclassified Pantoea', 'Pantoea sp.'
MW692213.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Rhizobiaceae', ' Rhizobium/Agrobacterium group', ' Rhizobium', 'Rhizobium miluonense'
MW692212.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Rhizobiaceae', ' Rhizobium/Agrobacterium group', ' Rhizobium', 'Rhizobium miluonense'
MW692211.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Caulobacterales', ' Caulobacteraceae', ' Caulobacter', ' unclassified Caulobacter', 'Caulobacter sp.'
MW692210.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
MW692209.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Inquilinus', 'Inquilinus ginsengisoli'
MW692207.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax paradoxus'
MW692206.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Rhizobiaceae', ' Rhizobium/Agrobacterium group', ' Rhizobium', 'Rhizobium miluonense'
MW692205.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
MW692204.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sanxanigenens'
MW692203.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax paradoxus'
MW692202.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Caulobacterales', ' Caulobacteraceae', ' Caulobacter', ' unclassified Caulobacter', 'Caulobacter sp.'
MW692141.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Moraxellaceae', ' Moraxella', 'Moraxella osloensis'
MW692131.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Xanthomonas', 'Xanthomonas campestris'
MW692037.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Morganellaceae', ' Photorhabdus', 'Photorhabdus luminescens'
MW691205.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', 'Rhodobacteraceae bacterium'
MW691137.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Oxalobacteraceae', ' Herbaspirillum', ' unclassified Herbaspirillum', 'Herbaspirillum sp.'
MW691136.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas psychrotolerans'
MW691135.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas oryzihabitans'
MW691134.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' unclassified Pantoea', 'Pantoea sp.'
MW691133.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Erwinia', ' unclassified Erwinia', 'Erwinia sp.'
MW691132.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW691131.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella pneumoniae'
MW691130.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella pneumoniae'
MW691129.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella oxytoca'
MW691128.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Citrobacter', ' unclassified Citrobacter', 'Citrobacter sp.'
MW691127.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' unclassified Pantoea', 'Pantoea sp.'
MW691126.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', 'Pantoea cypripedii'
MW691111.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas putida'
MW691110.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas putida'
MW690185.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella pneumoniae'
MW690183.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Bradyrhizobiaceae', ' Rhodopseudomonas', 'Rhodopseudomonas palustris'
MW689241.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Yersiniaceae', ' Serratia', 'Serratia ureilytica'
MW689240.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Morganellaceae', ' Proteus', 'Proteus mirabilis'
MW689239.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella aerogenes'
MW689190.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', ' Burkholderia cepacia complex', 'Burkholderia contaminans'
MW689189.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', ' Burkholderia cepacia complex', 'Burkholderia seminalis'
MW687136.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas resinovorans'
MW687135.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas multiresinivorans'
MW687134.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Moraxellaceae', ' Acinetobacter', 'Acinetobacter tandoii'
MW687133.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas resinovorans'
MW687132.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', ' Stenotrophomonas maltophilia group', 'Stenotrophomonas maltophilia'
MW687131.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas nitroreducens'
MW687129.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Moraxellaceae', ' Acinetobacter', 'Acinetobacter tandoii'
MW687128.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas aeruginosa'
MW687127.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas aeruginosa'
MW687123.1,'Bacteria', ' Proteobacteria', ' Epsilonproteobacteria', ' Campylobacterales', ' Campylobacteraceae', ' Campylobacter', ' environmental samples', 'uncultured Campylobacter sp.'
MW687122.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', 'Pantoea dispersa'
MW687115.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Enterobacter', ' Enterobacter cloacae complex', 'Enterobacter hormaechei subsp. xiangfangensis'
MW687114.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas canadensis'
MW687006.1,'Bacteria', ' Proteobacteria', ' Oligoflexia', ' Bdellovibrionales', ' Bdellovibrionaceae', ' Bdellovibrio', ' environmental samples', 'uncultured Bdellovibrio sp.'
MW687005.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Hyphomicrobiaceae', ' Hyphomicrobium', ' environmental samples', 'uncultured Hyphomicrobium sp.'
MW687004.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Legionellales', ' Legionellaceae', ' Legionella', ' environmental samples', 'uncultured Legionella sp.'
MW686999.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', ' environmental samples', 'uncultured Sphingomonas sp.'
MW686998.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', ' environmental samples', 'uncultured Sphingomonas sp.'
MW686997.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', ' environmental samples', 'uncultured Sphingomonas sp.'
MW686996.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingopyxis', ' environmental samples', 'uncultured Sphingopyxis sp.'
MW686993.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Nitrosomonadales', ' Nitrosomonadaceae', ' Nitrosovibrio', ' environmental samples', 'uncultured Nitrosovibrio sp.'
MW686992.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingopyxis', ' environmental samples', 'uncultured Sphingopyxis sp.'
MW686979.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Paracoccus', ' environmental samples', 'uncultured Paracoccus sp.'
MW686978.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', ' environmental samples', 'uncultured Sphingomonas sp.'
MW686977.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', ' environmental samples', 'uncultured Sphingomonas sp.'
MW686975.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', ' environmental samples', 'uncultured Variovorax sp.'
MW686965.1,'Bacteria', ' Proteobacteria', ' Oligoflexia', ' Bdellovibrionales', ' Bdellovibrionaceae', ' Bdellovibrio', ' environmental samples', 'uncultured Bdellovibrio sp.'
MW686964.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Caulobacterales', ' Caulobacteraceae', ' Brevundimonas', ' environmental samples', 'uncultured Brevundimonas sp.'
MW686963.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Rhodanobacteraceae', ' Luteibacter', ' environmental samples', 'uncultured Luteibacter sp.'
MW686957.1,'Bacteria', ' Proteobacteria', ' Oligoflexia', ' Bdellovibrionales', ' Bdellovibrionaceae', ' Bdellovibrio', ' environmental samples', 'uncultured Bdellovibrio sp.'
MW686956.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Caulobacterales', ' Caulobacteraceae', ' Asticcacaulis', ' environmental samples', 'uncultured Asticcacaulis sp.'
MW686954.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Phaeospirillum', ' environmental samples', 'uncultured Phaeospirillum sp.'
MW686950.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Nevskiales', ' Sinobacteraceae', ' Nevskia', ' environmental samples', 'uncultured Nevskia sp.'
MW686922.1,'Bacteria', ' Proteobacteria', ' Epsilonproteobacteria', ' Campylobacterales', ' Campylobacteraceae', ' Campylobacter', 'Campylobacter showae'
MW654050.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Atlantibacter', ' unclassified Atlantibacter', 'Atlantibacter sp.'
CP070474.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Vibrionales', ' Vibrionaceae', ' Vibrio', 'Vibrio furnissii'
NZ_AHCD03000030.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Pseudoalteromonadaceae', ' Pseudoalteromonas', 'Pseudoalteromonas rubra'
MW036531.2,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella variicola'
MW036530.2,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella variicola'
MW036529.2,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella variicola'
MT898520.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Cupriavidus', ' unclassified Cupriavidus', 'Cupriavidus sp.'
MT319101.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', 'Burkholderia rinojensis'
MT319078.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', ' pseudomallei group', 'Burkholderia oklahomensis'
MT319076.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Burkholderiaceae', ' Burkholderia', ' pseudomallei group', 'Burkholderia oklahomensis'
MN200334.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria immitis'
MN200333.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria immitis'
MN200332.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria immitis'
MN200331.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria immitis'
MN200330.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria immitis'
MN200329.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria immitis'
MN200328.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria immitis'
MN200327.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200326.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200325.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200324.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200323.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200322.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200321.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200320.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200319.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200318.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200317.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200316.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200315.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200314.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MN200313.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rickettsiales', ' Anaplasmataceae', ' Wolbachieae', ' Wolbachia', 'Wolbachia endosymbiont of Dirofilaria repens'
MT093818.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Enterobacter', ' Enterobacter cloacae complex', 'Enterobacter ludwigii'
NZ_MCWT01000035.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Vibrionales', ' Vibrionaceae', ' Vibrio', 'Vibrio lentus'
NZ_NBYY01000009.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Vibrionales', ' Vibrionaceae', ' Enterovibrio', 'Candidatus Enterovibrio escacola'
KY777993.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777992.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
KY777991.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
KY777990.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
KY777989.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
KY777988.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingobium', 'Sphingobium sp.'
KY777987.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Phyllobacteriaceae', ' Phyllobacterium', ' unclassified Phyllobacterium', 'Phyllobacterium sp.'
KY777986.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Phyllobacteriaceae', ' Phyllobacterium', ' unclassified Phyllobacterium', 'Phyllobacterium sp.'
KY777985.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777984.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777983.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777982.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777981.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777980.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777979.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Comamonadaceae', ' Variovorax', 'Variovorax sp.'
KY777978.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingobium', 'Sphingobium sp.'
KY777977.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingobium', 'Sphingobium sp.'
KY777976.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingobium', 'Sphingobium sp.'
